title,body,langcode,field_goals
A1a,Pursue incentives and regulatory approaches that encourage creativity and sustainability in housing development.,en,A1
A1b,"Accommodate the demand for housing in Lexington responsibly, prioritizing higher-density and mixture of housing types.",en,A1
A1c,"Plan for safe, affordable and accessible housing to meet the needs of older and/or disadvantaged residents.",en,A1
A1d,Create and implement housing incentives that strengthen the opportunities for higher-density and housing affordability.,en,A1
A2a,"Identify areas of opportunity for infill, redevelopment, adaptive reuse, and mixed-use development.",en,A2
A2b,Respect the context and design features of areas surrounding development projects and develop design standards and guidelines to ensure compatibility with existing urban form.,en,A2
A2c,"Incorporate adequate greenspace and open space into all development projects, which serve the needs of the intended population.",en,A2
A2d,"Implement innovative programs, such as the public infrastructure fund and land bank programs, to facilitate sustainable development, including, but not limited to, housing, affordable at all income levels, and commercial and economic activity.",en,A2
A2e,Create materials that educate the public about infill and redevelopment.,en,A2
A3a,"Enable existing and new neighborhoods to flourish through improved regulation, expanded opportunities for neighborhood character preservation, and public commitment to expand options for mixed-use and mixed-type housing throughout Lexington-Fayette County",en,A3
A3b,"Strive for positive and safe social interactions in neighborhoods, including, but not limited to, neighborhoods that are connected for pedestrians and various modes of transportation.",en,A3
A3c,Minimize disruption of natural features when building new communities.,en,A3
A3d,"Promote, maintain, and expand the urban forest throughout Lexington.",en,A3
A4a,"Incorporate schools, libraries, and other community-focused educational institutions into neighborhoods in order to maximize safe routes for all pedestrians and bicyclists.",en,A4
A4b,"Plan for equitable and accessible social services and healthcare facilities that address the needs of all residents, maximizing the opportunity to reach geographically underserved areas throughout the community.",en,A4
A4c,"Establish and promote road network connections in order to reduce police, EMS, and fire response times.",en,A4
B2a,Continue programs and initiatives to improve energy efficiency.,en,B2
B2b,Anticipate the community's needs by encouraging environmentally sustainable uses of natural resources.,en,B2
B2c,"Provide incentives for green building, sustainable development, and transit-oriented development with civic agencies leading by example through the use of green building standards.",en,B2
B2d,Prioritize multi-modal options that de-emphasize single-occupancy vehicle dependence.,en,B2
B3a,"Support the funding, planning and management of a green infrastructure program.",en,B3
B3b,Identify and protect natural resources and landscapes before development occurs.,en,B3
B3c,"Incorporate green infrastructure principles in new plans and policies, including, but not limited to and transportation.",en,B3
B3d,"Coordinate interrelated planning, programs and activities that impact the protection, conservation and restoration of landscapes and natural resources.",en,B3
C1a,Strengthen efforts to develop a variety of job opportunities that lead to prosperity for all.,en,C1
C1b,"Strengthen regulations and policies that propel the agricultural economy, including, but not limited to, local food production and distribution, agritourism and the equine industry that showcase Lexington-Fayette County as the Horse Capital of the World.",en,C1
C1c,Collaborate with institutions of higher learning to foster a capable and skilled work force while engaging agencies that address the lack of prosperity for residents by reducing joblessness.,en,C1
C1d,Encourage development that promotes and enhances tourism.,en,C1
C1e,Encourage developers of government-funded or subsidized projects to employ residents in the vicinity.,en,C1
C2a,"Prioritize the success and growth of strategically-targeted employment sectors (healthcare, education, high-tech, advanced manufacturing, agribusiness, agritourism, and the like), and enable infill and redevelopment that creates jobs where people live.",en,C2
