title,langcode,body,field_criteria_category,field_development_types,field_place_types,field_policies
A-DN1-1,en,High density residential development (HR) should be located on corridors and downtown.,criteria_category: Site Design Building Form and Locations,High Density Residential:High Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor,Theme A - Density Policy 1
A-DN2-1,en,Infill residential should aim to increase density.,criteria_category: Site Design Building Form and Locations,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Density Policy 2
A-DN2-2,en,"Development should minimize significant contrasts in scale, massing and design, particularly along the edges of historic areas and neighborhoods. (D-PL9, E-GR6)",criteria_category: Site Design Building Form and Locations,High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Density Policy 2
A-DN3-1,en,Pedestrian-oriented commercial opportunities should be incorporated within residential neighborhoods.,criteria_category: Site Design Building Form and Locations,High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Density Policy 3
A-DN3-2,en,Development should incorporate residential units in commercial centers with context sensitive design.,criteria_category: Site Design Building Form and Locations,High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Density Policy 3
A-DN4-1,en,Medium–high density development should be located nearest to neighborhood focal points.,criteria_category: Site Design Building Form and Locations,Medium-High Density Residential,2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Density Policy 4
A-DN6-1,en,Allow and encourage new compact single-family housing types.,criteria_category: Site Design Building Form and Locations,Low Density Residential:Medium Density Residential,2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Density Policy 6
A-DS10-1,en,Residential units should be within reasonable walking distance to a focal point.,criteria_category: Site Design Building Form and Locations,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 10
A-DS11-1,en,"Common public uses that serve as neighborhood focal points, such as parks and schools, should be on single loaded streets.",criteria_category: Site Design Building Form and Locations,Low Density Residential:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 11
A-DS12-1,en,Medium–high density development should be located nearest to neighborhood-serving commercial areas.,criteria_category: Site Design Building Form and Locations,High Density Non-Residential / Mixed-Use:Medium-High Density Residential:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 12
A-DS3-1,en,"Multi-family residential developments should comply with the Multi-Family Design Standards in Appendix 1.
",criteria_category: Site Design Building Form and Locations,High Density Residential:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 3
A-DS4-2,en,"New construction should be at an appropriate scale to respect the context of neighboring structures; however, along major corridors, it should set the  future context in accordance with other Imagine Lexington corridor policies and Placebuilder priorities.",criteria_category: Site Design Building Form and Locations,High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 4
A-DS5-3,en,Building orientation should maximize connections with the surrounding area and create a pedestrian-friendly atmosphere.,criteria_category: Site Design Building Form and Locations,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 5
A-DS5-4,en,Development should provide a pedestrian-oriented and activated ground level.,criteria_category: Site Design Building Form and Locations,High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 5
