title,field_policy_number,body,langcode,field_topics,field_goals,field_objectives
Theme A - Design Policy 1,1,"Utilize a people-first design, ensuring that roadways are moving people efficiently and providing pedestrian infrastructure that is context sensitive to the vehicle environment and land uses.",en,"topic: Transportation, Health",A3:A4:B2:D1:D2,A3b:A4a:A4c:B2d:C2d:D1a:D1b:D1c:D1d:E1b
Theme A - Design Policy 2,2,Ensure proper road connections are in place to enhance service times and access to fire and police services for all residents.,en,"topic: Transportation, Health, Community Facilities",A4:D1:D2,A4c:D1a:D1d:D2a:E1b
Theme A - Design Policy 3,3,Multi-family residential developments should comply with the multi-family design standards in Appendix A.,en,"topic: Housing, Quality of Life",A2:A3:B2,A1a:A1d:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:B2b:C2d:E1b
Theme A - Design Policy 4,4,Provide development that is sensitive to the surrounding context.,en,"topic: Transportation, Economic Development, Health, Quality of Life",A2:A3:B2:B3:C1:C2:D1:D2:D3:E1,A1a:A1b:A1d:A2b:A3a:B2a:B2b:B2c:B3b:B3c:C1a:C1d:C2a:C2b:C2d:D1a:D1b:D2c:D3a:D3b:D3c:E1b:E1d
Theme A - Design Policy 5,5,Provide pedestrian friendly street patterns and walkable blocks to create inviting streetscapes.,en,"topic: Transportation, Health, Quality of Life",A3:B2:D1:D2,A1a:A1c:A3b:A4a:B2d:C2d:D1a:D1b:E1b
Theme A - Design Policy 6,6,"Adhere to the recommendations of the Lexington Area MPO Bike/Pedestrian Master Plan, adopted in 2018.",en,"topic: Transportation, Economic Development, Health, Quality of Life",A3:A4:B2:D1:D2,A2d:A3b:A4a:B2d:C1d:C2a:C2d:D1a:D1b:D1c:D1d:E1b
Theme A - Design Policy 7,7,Design car parking areas so as not to be the primary visual component of the neighborhood.,en,"topic: Transportation, Quality of Life",A2:A3:B2,A1a:A2b:A2c:A2d:A3a:A3b:E1b
Theme A - Design Policy 8,8,Provide varied housing choice.,en,topic: Housing,A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A3a:A3b:C2d:E1a:E1b:E1c:E1d
Theme A - Design Policy 9,9,Provide adequate greenspace for all neighborhoods within walking distance.,en,"topic: Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:C2:D2,A1a:A2c:A2d:A3b:A3c:A3d:B2b:B2d:C2d:E1b
Theme A - Design Policy 10,10,Provide neighborhood focal points accessible to all residents.,en,"topic: Transportation, Economic Development, Greenspace, Quality of Life, Community Facilities",A3:A4:B2:C2:D1:D2,A1a:A1d:A2c:A2d:A3a:A3b:A3c:A3d:A4a:B2b:B2d:C1d:C2a:C2d:D1a:D1b:E1b
Theme A - Design Policy 11,11,Single loaded streets should be utilized in order to establish clear public access to neighborhood focal points.,en,"topic: Transportation, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:D1:D2,A1a:A1c:A2c:A2d:A3b:A4a:B2b:B2d:B3b:B3c:C1d:C2d:D2a:D2c:E1b
Theme A - Design Policy 12,12,Support neighborhood level commercial areas.,en,"topic: Housing, Transportation, Economic Development, Health, Quality of Life",A1:A2:A3:B2:C1:D1:D2:E1,A1a:A1b:A1d:A2a:A2b:A2d:A3a:A3b:B2d:C1a:C2a:C2d:D1a:D1b:E1a:E1b:E1d
