title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body
Theme A - Design Policy 1,1,"Utilize a people-first design, ensuring that roadways are moving people efficiently and providing pedestrian infrastructure that is context sensitive to the vehicle environment and land uses.",en,"topic: Transportation, Health",A3:A4:B2:D1:D2,A3b:A4a:A4c:B2d:C2d:D1a:D1b:D1c:D1d:E1b,Utilize a People-First Design,"People-first neighborhood design requires the provision of transit/transportation infrastructure that places pedestrians, bicycle riders and mass transit users on the same level as automobiles. Mass transit infrastructure should be considered essential. Proposed developments on current transit lines or future expected routes should enhance existing infrastructure to accommodate the new or increased ridership. Shelters and seating options should be scaled, added or improved accordingly. Development should provide direct pedestrian and bicycle linkages to transit."
Theme A - Design Policy 2,2,Ensure proper road connections are in place to enhance service times and access to fire and police services for all residents.,en,"topic: Transportation, Health, Community Facilities",A4:D1:D2,A4c:D1a:D1d:D2a:E1b,Fire & Police Service Access,"There is often opposition to connecting roads between developments, as residents believe that the increased traffic will negatively affect their property.  However, it is important to note that there are many benefits to the increased connectivity that further the health, safety, and welfare of the community. “Providing a strong connected network of roads and pedestrian facilities can help distribute traffic, reduce travel distances and times, improve routing for transit and reduce walking distances."
Theme A - Design Policy 3,3,Multi-family residential developments should comply with the multi-family design standards in Appendix A.,en,"topic: Housing, Quality of Life",A2:A3:B2,A1a:A1d:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:B2b:C2d:E1b,Multi-Family Design Standards,"In the Winburn Small Area plan, design standards were created in order to address neighborhood concerns and to ensure that many of the problems historically created through poor design would not be repeated in the future.  Special attention was paid during the creation of the standards to ensure that new multi-family developments will be properly oriented for pedestrians and site safety, and will create a strong sense of place.  The design standards were developed with the intention of being portable for inclusion in the 2018 Comprehensive Plan."
Theme A - Design Policy 4,4,Provide development that is sensitive to the surrounding context.,en,"topic: Transportation, Economic Development, Health, Quality of Life",A2:A3:B2:B3:C1:C2:D1:D2:D3:E1,A1a:A1b:A1d:A2b:A3a:B2a:B2b:B2c:B3b:B3c:C1a:C1d:C2a:C2b:C2d:D1a:D1b:D2c:D3a:D3b:D3c:E1b:E1d,Context Sensitive Development,"Context-sensitive development is compatible and complementary to adjacent neighborhoods and communities.  It enhances the existing neighborhoods through land uses and development patterns that are sensitive to the nearby built and natural environments.  This does not mean all developments should be homogeneous or that Lexington should continue its history of highly separated land uses and residential densities, but rather new development should be connected to existing neighborhoods in a meaningful way that brings a higher quality of life to all residents by creating a sense of place."
Theme A - Design Policy 5,5,Provide pedestrian friendly street patterns and walkable blocks to create inviting streetscapes.,en,"topic: Transportation, Health, Quality of Life",A3:B2:D1:D2,A1a:A1c:A3b:A4a:B2d:C2d:D1a:D1b:E1b,Pedestrian Friendly,"Street design matters.  Creating a neighborhood environment that is not only able to be walked, but is actually inviting and walkable is vital to providing a safe way for people to move from place to place.  When designing the street facilities, developers should, “consider how to keep people walking separate from people driving vehicles; keep traffic speeds low; ensure sidewalks and curb ramps are accessible to people with disabilities; and clarify where each road user should be expected to travel” (Dangerous by Design, 2016)."
Theme A - Design Policy 6,6,"Adhere to the recommendations of the Lexington Area MPO Bike/Pedestrian Master Plan, adopted in 2018.",en,"topic: Transportation, Economic Development, Health, Quality of Life",A3:A4:B2:D1:D2,A2d:A3b:A4a:B2d:C1d:C2a:C2d:D1a:D1b:D1c:D1d:E1b,Lexington Area MPO Bike/Ped Master Plan,"The 2018 Bike/Pedestrian Plan, called ConnectLex, envisions “a network of high quality walkways and bikeways that connects communities and fosters economic growth and regional collaboration. People of all ages and abilities will have access to comfortable and convenient walking and biking routes, resulting in true mobility choice, improved economic opportunity, and healthier lifestyles. Across the region, a culture of safety and respect is cultivated for people traveling by foot or bike, whether for transportation or recreation.”"
Theme A - Design Policy 7,7,Design car parking areas so as not to be the primary visual component of the neighborhood.,en,"topic: Transportation, Quality of Life",A2:A3:B2,A1a:A2b:A2c:A2d:A3a:A3b:E1b,Parking Design Aesthetics,"New residential development should minimize the visual appearance of parking lots on streets to preserve that space for use that will activate the front yards and sidewalks for pedestrians and bicyclists. This can be achieved by placing parking lots to the rear or interior of the site, so that the building fronts along a public street. This increases the structure’s visual aesthetic, the walkability of the development, and allows for better integration into the existing pattern of the area."
Theme A - Design Policy 8,8,Provide varied housing choice.,en,topic: Housing,A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A3a:A3b:C2d:E1a:E1b:E1c:E1d,Provide Varied Housing,"By providing housing choices within a neighborhood, residents of a community have greater options of where to live, particularly when the components of housing choice include access to jobs and schools, affordability, and housing type. Diverse neighborhoods feature town-homes, apartments,condominiums and duplex housing adjacent to and mixed with single-family homes. They provide the opportunity for more personal interaction and security. The added population of higher-density residential development increases the viability of neighborhood-serving commercial development as well."
Theme A - Design Policy 9,9,Provide adequate greenspace for all neighborhoods within walking distance.,en,"topic: Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:C2:D2,A1a:A2c:A2d:A3b:A3c:A3d:B2b:B2d:C2d:E1b,Provide Adequate Greenspace,"Greenspace is key to successful neighborhoods. It has the benefits of improving air quality, providing social interactions, and improving public health. An interconnected and accessible greenspace system consisting of vibrant and attractive public spaces, healthy natural areas and plentiful recreational opportunities create neighborhoods where people want to live.  Over the years, greenspace has evolved far beyond the definition of rural landscapes. Greenspace encompasses public parks, trails, boulevards, activity lawns, schoolyards, public plazas, amphitheaters, stormwater basins, the arboretum, cemeteries, etc. 
"
Theme A - Design Policy 10,10,Provide neighborhood focal points accessible to all residents.,en,"topic: Transportation, Economic Development, Greenspace, Quality of Life, Community Facilities",A3:A4:B2:C2:D1:D2,A1a:A1d:A2c:A2d:A3a:A3b:A3c:A3d:A4a:B2b:B2d:C1d:C2a:C2d:D1a:D1b:E1b,Neighborhood Focal Points,"Neighborhood focal points can be a gathering space such as a park, greenspace, a shopping center, a community center or public square. To the extent possible, new residential development should be developed with new focal points in mind by allowing for easy, multimodal access from the neighborhood instead of development that turns its back on the community hub."
